start_speed,pfx_x,pfx_z,mlbam_pitch_name
91.87,-4.517746240721009,9.332201766676029,FF
83.05,1.6246040769834627,1.9427902484392996,SL
91.21,-7.260077568369522,7.255022886240385,FF
81.80,4.4098713077459255,0.7871275047920352,SL
80.63,5.149924212604984,2.596144120173224,SL
83.28,2.4794267641768997,0.04509149145601117,SL
81.09,3.6505534628901875,1.275623144584005,SL
81.21,3.4363895232723487,2.5641403195073758,SL
87.54,-6.745004840971562,2.6003304084573844,FS
82.11,7.491734472689568,0.41781295087232734,SL
89.88,-6.328346070350306,8.93396584575429,FF
83.50,2.337268231809481,0.5916542360391882,SL
87.11,-9.915765218417842,5.230355827097654,FS
87.78,-7.517405679552894,1.9921180002521173,CH
86.81,-7.621105942850035,3.426615422037893,FS
90.80,-5.63247507485777,6.4533594499456575,FF
87.92,-7.900273970373779,3.0895025651215042,FS
82.56,2.9932823612678745,-0.5687506445876233,SL
87.27,-6.989102960388167,2.4513379020048363,FS
90.34,-4.0305068908841735,7.3936177538296635,FF
90.67,-6.361047226039285,8.56255359796027,FF
87.27,-6.231166597474248,0.5748925330250373,CH
87.63,-7.446312138893717,4.311563362375138,FS
83.12,5.3508900067836755,-2.0323034114125185,SL
86.27,-7.699980324612986,3.545895651640492,FS
84.43,6.479260337998162,-1.802506645645895,SL
83.83,2.295177138785907,-0.35624057239297513,SL
83.27,2.592805436333415,0.992662734429703,SL
92.63,-5.500928393008929,9.11734046306743,FF
81.79,7.296186476143549,-1.7853847434937786,SL
91.66,-5.15010626344983,8.038416431007503,FF
91.54,-5.994698791628011,9.234275098177118,FF
85.42,1.4699629378560346,2.55511548783399,SL
82.52,2.650477973885785,0.7288123757189018,SL
91.08,-5.45195459098019,9.020906617524473,FF
91.87,-5.681376950348722,9.292695011670506,FF
88.80,-8.457527125303232,3.9149584754646227,FS
75.03,6.7479125475148605,-4.895625041537402,CU
82.63,3.238022635248517,1.52325227669452,SL
82.83,2.2249096525097145,1.1930182507222995,SL
91.64,-6.190344019108281,8.602216211094447,FF
83.81,1.6286599317365569,0.6938863496334948,SL
91.65,-6.310950992500087,8.902828677299862,FF
90.85,-5.820072625259555,8.799909428134747,FF
87.23,-7.3381938420817105,4.531377081457836,FS
84.02,1.7612249519724685,-1.223595732610994,SL
91.79,-5.811477214299093,9.665386706460215,FF
83.62,2.8876327528155405,0.31186947052163033,SL
87.36,-7.260628639383407,4.811781288490256,CH
91.14,-9.590424920338771,3.7704651435423138,SI
73.21,4.409201727397053,-6.102840991803345,CU
92.22,-5.8657778948108055,8.814152900479009,FF
92.21,-5.822783909798534,7.62825110769821,FF
91.99,-6.16940062015306,9.316145891860135,FF
91.24,-7.255089457661129,8.260952061037907,FF
82.99,3.6136938018098483,0.45273016256280046,SL
87.71,-6.751841843941648,3.7255108042550025,FS
86.15,-5.650499096145978,0.29795353687739345,FS
93.34,-11.016408495103398,2.8493110999881965,SI
74.16,7.416382389952905,-6.187096629185137,CU
91.77,-6.029444943158841,7.060057884458128,FF
92.47,-8.304353500661035,5.154707000711958,SI
89.72,-8.033970391765248,5.154928040948842,SI
84.93,6.945887155559293,-1.247499235157838,SL
83.44,1.3580083525910802,1.521050428733702,SL
91.54,-5.223763626794618,8.713879036091631,FF
83.31,6.726200995536275,-0.8407758495317204,SL
87.81,-6.595324843486034,3.687637266117634,CH
83.47,2.6369563514433216,-0.12360856575958024,SL
88.67,-9.046313544575115,7.348043646896712,FS
86.01,1.8513310567263002,1.4416823837089072,SL
88.27,-7.0802918839466935,1.458506826156483,FS
90.31,-6.530875029813814,8.996996761230587,FF
86.05,1.3949073187693986,0.7389689140234502,SL
91.07,-5.841283399657301,9.808915395006094,FF
91.41,-9.790456842463625,3.3628233683267337,SI
90.92,-6.753485085618399,8.49091707848596,FF
91.79,-9.688586452357912,3.505282478424887,SI
75.73,8.111984240655865,-5.735888329484917,CU
88.50,-6.961097566012806,4.334751025539887,FS
81.63,4.416696412660577,1.1463764011301336,CU
83.53,5.484314132940047,0.24684203844841904,SL
84.02,4.888635032090332,-1.0942848178950555,SL
88.05,-7.3694362671899105,4.467974761696626,FS
83.86,3.6308662536216607,0.12247029760752946,SL
87.40,-7.192258277222507,4.358962665430531,SL
90.84,-5.304351026998803,8.017822012654921,FF
86.46,-5.342779687032627,2.615480150752684,FS
84.24,2.6266844167971835,1.775832538168269,SL
88.83,-7.228764676322375,3.181816037954283,FT
92.33,-5.4779622941849615,9.160895654923072,FF
81.70,4.904535023370076,-0.2813957723174879,SL
82.83,5.681818312810557,-1.2752771648738586,SL
83.05,2.418466907251775,1.1222386887882292,SL
84.74,3.0154001390552954,0.4349015724843586,SL
